Filename,Title,Keywords
big project 03 0295_FINAL.eps,Professional Uniform Apron Icons Set icon set,"apron, uniform, service, hospitality, icon, vector, illustration, staff, restaurant, retail, clothing, apparel, workwear, chef, waiter, business, design, graphic, set, collection, symbol, sign, employee, professional, gradient, line art, black and white, minimalist, ui, ux, web design, template, branding, kitchen, cafe, cooking, clean, flat design, isolated, vector art"
big project 03 0296_FINAL.eps,Forest Road Landscape Icons Set icon set,"forest, road, pathway, nature, trees, landscape, travel, icon, vector, illustration, adventure, outdoor, scenery, way, perspective, gradient, line art, minimalist, design, graphic, symbol, sign, abstract, environment, park, woodland, journey, trip, navigation, route, isolated, flat design, set, collection, creative, art, tourism, green, blue, orange"
big project 03 0297_FINAL.eps,Waitstaff Uniform Icons with Pocket icon set,"apron, uniform, pocket, waiter, waitress, restaurant, cafe, service, hospitality, icon, vector, illustration, staff, workwear, clothing, apparel, kitchen, cooking, chef, business, design, graphic, set, collection, symbol, sign, employee, professional, gradient, line art, black and white, minimalist, ui, ux, web design, template, branding, clean, flat design, isolated"
big project 03 0298_FINAL.eps,Taco Food Item Icons Set icon set,"taco, food, mexican, cuisine, tacos, fast food, icon, vector, illustration, meal, lunch, dinner, snack, restaurant, menu, cooking, delicious, tasty, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, app, delivery, ui, ux, web design, template, branding, clean, flat design, isolated, culinary, street food"
big project 03 0299_FINAL.eps,Hand Drawn Style Taco Icons Set icon set,"taco, food, mexican, hand drawn, sketch, doodle, cuisine, tacos, fast food, icon, vector, illustration, meal, lunch, dinner, snack, restaurant, menu, cooking, delicious, tasty, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, artistic, creative, ui, ux, web design, template, branding, clean, isolated, culinary"
big project 03 0300_FINAL.eps,Swap Reward Badge Icons Set icon set,"swap, reward, badge, loyalty, icon, vector, illustration, exchange, bonus, star, commerce, business, marketing, promotion, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, ui, ux, web design, template, branding, clean, flat design, isolated, transaction, trade, points, membership, award, ribbon, quality"
big project 03 0001_FINAL.eps,Tech Profit Growth Icons Set icon set,"growth, finance, tech, money, profit, chip, cpu, investment, icon, vector, illustration, business, economy, success, financial, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, ui, ux, web design, template, branding, clean, flat design, isolated, digital, data, analysis, market, currency, saving, increase"
big project 03 0002_FINAL.eps,Advanced Tech Finance Growth Icons icon set,"fintech, growth, finance, money, profit, chip, cpu, investment, icon, vector, illustration, business, economy, success, financial, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, ui, ux, web design, template, branding, clean, flat design, isolated, technology, data, analysis, market, currency, banking, increase, wealth"
big project 03 0003_FINAL.eps,Desert Dune Landscape Icons Set icon set,"desert, dune, sand, landscape, nature, travel, icon, vector, illustration, outdoor, scenery, adventure, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, ui, ux, web design, template, branding, clean, flat design, isolated, environment, tourism, heat, arid, dunes, earth, geography, national park, scenic"
big project 03 0004_FINAL.eps,Minimalist Desert Dune Icons Set icon set,"desert, dune, sand, landscape, nature, travel, icon, vector, illustration, outdoor, scenery, adventure, gradient, line art, minimalist, design, graphic, symbol, sign, set, collection, ui, ux, web design, template, branding, clean, flat design, isolated, environment, tourism, heat, arid, dunes, earth, geography, abstract, modern, simple"
